ACTION_TAKEN,CALL_DATE,CALL_FROM,CALL_TIME,Category,Message search terms,Sub Category,Sum of Incidents,Sum of Vehicle Delay Time,Measure Param,DIRECTION,DISPATCHER_ID,DIVISION,GEOGRAPHIC_LOCATION_MODIFIED,LINE (group) 1,LINE (group),LINE,LINE_DELAY,LINE_DELAY_TIME_END,LINE_DELAY_TIME_START,Location,LOCATION_ORIGINAL,Incident Location,Message,NO_RETURN,Number of Records,OPERATOR_ID,RUN,RUN_LINE,SENT_TO,STREET_A,STREET_B,STREET_C,STREET_D,Subcategory,Security Incident Type,TAG_ID,TIMEOUT,Date,TIME_OF_INCIDENT,VEHICLE,VEHICLE_DELAY_TIME_END,VEHICLE_DELAY_TIME_START,VEHICLE_NEW,VEHICLE_NEW_NUM_1,VEHICLE_NEW_NUM_2,VEH_DELAY,VIA,Veh_Delay_Time (copy),Vehicle Delay Minutes per Incident
"INSPECTOR T. CHOU (1T81) WAS CALLED @2340, CLEARED @ 2352. SFPD DISPATCHED AT 2333 UNDER CAD# 161394066, UNIT 3I15E WAS CLEARED @2352, NO ARREST, NO799.",5/18/2016,OPERATOR,23:30,Passenger Incident,0,Intoxicated Passenger,1,20,1,    IB,85,FL,UNITY PLAZA,49,49,49,00:00 - 00:00,,,UNITY PLAZA,,UNITY PLAZA,PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED/SLEEPER,N,1,5226,613,613 / 49,,,,,,Intoxicated Passenger,Other,1474372,0:00,5/18/2016,5/18/2016 23:30,6548,5/19/2016 23:52,5/19/2016 23:32,,,,23:32 - 23:52,R,20,20
"INSP 1R12 L.BROWN RESP, SFPD* CAD #161391588, NO ARREST. NO 799.",5/18/2016,TMC,12:07,Passenger Incident,0,Intoxicated Passenger,1,23,1,    OB,52,PO,MISSION ##### 16TH,14,14,14,00:00 - 00:00,,,MISSION & 16TH ST,,16TH ST & MISSION ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4237,338,338 / 14,,MISSION,16TH,%MISSION%,%16TH%,Intoxicated Passenger,Other,1474275,0:00,5/18/2016,5/18/2016 12:07,7240,5/19/2016 12:30,5/19/2016 12:07,,,,12:07 - 12:30,R,23,23
"INSP. ESPINOZA 1T67B RESP.  CLEANING CREW RESP. AND CLEARED AT 1512.  FIRE ENGINE #39 RESP.  MEDIC #64 RESP. AND TRANSP. PASS. TO SOBERING CENTER.  NO SFPD, NO ARREST.  SYSTEM SAFETY*, VIDEO*, 6A48*.  NO 799.",5/18/2016,OPERATOR,14:54,Passenger Incident,0,Intoxicated Passenger,1,66,1,    OB,42,KI,LAGUNA HONDA ##### PORTOLA,43,43,43,00:00 - 00:00,,,LAGUNA HONDA & PORTOLA,,LAGUNA HONDA & PORTOLA,PASSENGER INCIDENT - INTOXICATED PASSENGER AND DIRTY COACH; SODA ON STEPS.,N,1,4484,665,665 / 43,,LAGUNA HONDA,PORTOLA,%LAGUNA%HONDA%,%PORTOLA%,Intoxicated Passenger,Other,1473858,0:00,5/18/2016,5/18/2016 14:54,8115,5/19/2016 16:00,5/19/2016 14:54,,,,14:54 - 16:00,R,66,66
"SFPD* CAD 3669 OPERATOR CLEARED BEFORE SFPD ARRIVED. NO ARREST. NO 799, VIDEO*",5/17/2016,OPERATOR,19:13,Passenger Incident,0,Intoxicated Passenger,1,,1,    OB,37,KI,PRESIDIO ##### GEARY,43,43,43,00:00 - 00:00,,,PRESIDIO AVE  & GEARY,,GEARY BLVD & PRESIDIO AVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  LEFT THE SCENE BEFORE POLICE ARRIVED,N,1,1839,752,752 / 43,,PRESIDIO,GEARY,%PRESIDIO%,%GEARY%,Intoxicated Passenger,Other,1474163,0:00,5/17/2016,5/17/2016 19:13,8306,,,,,,00:00 - 00:00,R,,
"SFPD CLEARED, NO 799, NO ARREST",5/14/2016,OPERATOR,0:55,Passenger Incident,0,Intoxicated Passenger,1,63,1,    IB,16,PO,LA PLAYA ##### CABRILLO,5,5,5,00:00 - 00:00,,,LA PLAYA & CABRILLO,,LA PLAYA & CABRILLO,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1487,487,487 / 5,,LA PLAYA,CABRILLO,%LA%PLAYA%,%CABRILLO%,Intoxicated Passenger,Other,1473604,0:00,5/14/2016,5/14/2016 0:55,5405,5/15/2016 1:58,5/15/2016 0:55,,,,00:55 - 01:58,R,63,63
"INSP 1T62 GEETER, A. NOTIFIED @ 2112, ARRIVED @ 2122, CLEARED @ 2130. SFFD* ( CAD # 53330) MEDIC # 92 DISPATCHED/RESPONDED. VIDEO*. CLAIMS 6A49*. S/S*. NO 799. NO ARREST",5/14/2016,OPERATOR,20:49,Passenger Incident,0,Intoxicated Passenger,1,41,1,    IB,43,PR,FULTON ##### SHRADER,21,21,21,00:00 - 00:00,,,FULTON & SHRADER,,FULTON & SHRADER,PASSENGER INCIDENT - INTOXICATED PASSENGER  TRANSPORTED TO UCSF. NO 799.,N,1,4228,156,156 / 21,,FULTON,SHRADER,%FULTON%,%SHRADER%,Intoxicated Passenger,Other,1473714,0:00,5/14/2016,5/14/2016 20:49,5493,5/15/2016 21:30,5/15/2016 20:49,,,,20:49 - 21:30,R,41,41
DCPD 35S78* @0106 NO ARREST. NO 799 VIDEO*,5/14/2016,OPERATOR,1:03,Passenger Incident,0,Intoxicated Passenger,1,55,1,    OB,27,WO,GENEVA ##### RIO VERDE,9,9,9,00:00 - 00:00,,,GENEVA  & RIO VERDE,,GENEVA AVE & RIO VERDE ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5167,306,306 / 9,,GENEVA,RIO VERDE,,,Intoxicated Passenger,Other,1473608,0:00,5/14/2016,5/14/2016 1:03,8602,5/14/2016 1:39,5/14/2016 0:44,,,,00:44 - 01:39,R,55,55
"SFFD MEDIC #53 AND ENGINE #40 RESP AND TRANSPORTED PASSENGER TO UNKNOWN HOSPITAL.  NO OP 799. NO SFPD, NO ARREST",5/13/2016,STATION AGENT,18:32,Passenger Incident,0,Intoxicated Passenger,1,,1,,22, ,WEST PORT STATION,NA,Other,NA,00:00 - 00:00,,,WEST PORT STATION,,WEST PORT STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1473549,0:00,5/13/2016,5/13/2016 18:32,,,5/15/2016 18:32,,,,18:32 - 00:00,R,,
"1T62 INSP LUM, B. NOTIFIED AND RESPONDED. SFFD NOTIFIED. AMR #14 TRANSPORTED PASS TO SFGH DETOX CENTER. OP BACK IN SERVICE WITH ORDERS. NO 799. VIDEO*, S/S*, CLAIMS 6A47*. NO SFPD, NO ARREST.",5/13/2016,TMC,12:58,Passenger Incident,0,Intoxicated Passenger,1,47,1,    IB,38,FL,GEARY##### ARGUELLO,38,38,38,00:00 - 00:00,,,GEARY BLVD & ARGUELLO,,ARGUELLO BLVD & GEARY BLVD,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5313,556,556 / 38,,GEARY,ARGUELLO,%GEARY%,%ARGUELLO%,Intoxicated Passenger,Other,1473500,0:00,5/13/2016,5/13/2016 12:58,6545,5/15/2016 13:45,5/15/2016 12:58,,,,12:58 - 13:45,T,47,47
"MEDIC KING AMERICAN #3 TRANS TO ST. FRANCIS MED. INSP.CARVAJAL CLEARED. NO 799. NO SFPD, NO ARREST.

",5/12/2016,OPERATOR,21:53,Passenger Incident,0,Intoxicated Passenger,1,56,1,    IB,25,FL,KEARNY ##### NORTH POINT,8,8,8,00:00 - 00:00,,,KEARNY & NORTH POINT,,KEARNY & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5297,605,605 / 8,,KEARNY,NORTH POINT,%KEARNY%,%NORTH%POINT%,Intoxicated Passenger,Other,1473418,0:00,5/12/2016,5/12/2016 21:53,6565,5/13/2016 22:13,5/13/2016 21:17,,,,21:17 - 22:13,R,56,56
"NO 799, SFPD UNIT # 3H16E RESPONDED AND CLEARED. NO SFPD, NO ARREST. NO 799.",5/10/2016,OPERATOR,23:49,Passenger Incident,0,Intoxicated Passenger,1,21,1,    OB,40,KI,GENEVA ##### MUNICH,43,43,43,00:00 - 00:00,,,GENEVA & MUNICH,,GENEVA AVE & MUNICH ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  SLEEPER,N,1,7812,773,773 / 43,,GENEVA,MUNICH,%GENEVA%,%MUNICH%,Intoxicated Passenger,Other,1472766,0:00,5/10/2016,5/10/2016 23:49,8213,5/12/2016 0:10,5/11/2016 23:49,,,,23:49 - 00:10,R,21,21
"SFFD ENGINE 36 RESP; MEDIC 71 RESP & TRANSPORTED MALE PASS TO ST FRANCIS HOSPITAL; SFPD*; NO 799, NO ARREST",5/7/2016,4C93,17:42,Passenger Incident,0,Intoxicated Passenger,1,33,1,,92, ,CIVIC CENTER STATION,NA,Other,NA,00:00 - 00:00,,,CIVIC CENTER STATION,,CIVIC CENTER STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ON PLATFORM,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1472506,0:00,5/7/2016,5/7/2016 17:42,,5/8/2016 18:15,5/8/2016 17:42,,,,17:42 - 18:15,R,33,33
"SFPD CLEARED, NO ARREST. NO 799",5/6/2016,OPERATOR,23:27,Passenger Incident,0,Intoxicated Passenger,1,21,1,    OB,58,PR,33RD ##### GEARY,1,1,1,00:00 - 00:00,,,33RD & GEARY,,33RD AVE & GEARY BLVD,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5375,146,146 / 1,,33RD,GEARY,%33RD%,%GEARY%,Intoxicated Passenger,Other,1472400,0:00,5/6/2016,5/6/2016 23:27,5587,5/7/2016 23:49,5/7/2016 23:28,,,,23:28 - 23:49,R,21,21
INSP. YEE 1T64B RESP.  SFPD*; CANCELLED. NO ARREST.  NO 799.,5/4/2016,OPERATOR,18:48,Passenger Incident,0,Intoxicated Passenger,1,25,1,    IB,94,FL,ORTEGA ##### 48TH,7,7,7,00:00 - 00:00,,,ORTEGA & 48TH AVE,,ORTEGA & 48TH AVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  LEFT ON OWN ACCORD.  ,N,1,4013,554,554 / 7,,ORTEGA,48TH,%ORTEGA%,%48TH%,Intoxicated Passenger,Other,1471957,0:00,5/4/2016,5/4/2016 18:48,6275,5/5/2016 19:13,5/5/2016 18:48,,,,18:48 - 19:13,R,25,25
"OPERATOR CLEARED. 911* 1T68 KWAN* @2153, NO SFPD, NO ARREST, NO 799.",5/4/2016,OPERATOR,21:45,Passenger Incident,0,Intoxicated Passenger,1,25,1,,41,PO,VAN NESS ##### GROVE,49,49,49,00:00 - 00:00,,,VAN NESS & GROVE,,VAN NESS & GROVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5188,584,584 / 49,,VAN NESS,GROVE,%VAN%NESS%,%GROVE%,Intoxicated Passenger,Other,1471998,0:00,5/4/2016,5/4/2016 21:45,6544,5/5/2016 22:10,5/5/2016 21:45,,,,21:45 - 22:10,R,25,25
INSP. YEE 1T63 RESP.  SFPD UNIT# 3D11D RESP.  NO ARREST.  NO 799.  ,5/1/2016,OPERATOR,16:58,Passenger Incident,0,Intoxicated Passenger,1,17,1,    IB,43,WO,CESAR CHAVEZ ##### MISSION,27,27,27,00:00 - 00:00,,,CESAR CHAVEZ & MISSION,,CESAR CHAVEZ & MISSION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5140,228,228 / 27,,CESAR CHAVEZ,MISSION,%CESAR%CHAVEZ%,%MISSION%,Intoxicated Passenger,Other,1471421,0:00,5/1/2016,5/1/2016 16:58,8602,5/1/2016 17:18,5/1/2016 17:01,,,,17:01 - 17:18,R,17,17
"INSP. J. AGUIRRE RESP. SFPD 3H15D RESP. NO ARREST, MEDIC #62 TRANS UC. MEDICAL, VIDEO* CLAIMS 6A46* NO 799 ",4/30/2016,OPERATOR,17:08,Passenger Incident,0,Intoxicated Passenger,1,26,1,    IB,17,KI,GENAVA ##### MUNICH,43,43,43,00:00 - 00:00,,,GENAVA & MUNICH,,GENAVA & MUNICH,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1924,756,756 / 43,,GENAVA,MUNICH,,,Intoxicated Passenger,Other,1471314,0:00,4/30/2016,4/30/2016 17:08,8210,4/30/2016 17:46,4/30/2016 17:20,,,,17:20 - 17:46,R,26,26
"AID REFUSED, WALKED AWAY. NO 799. SEE TAG# 1471182 ",4/29/2016,OPERATOR,16:45,Passenger Incident,0,Intoxicated Passenger,1,,1,    IB,75,PO,MARKEY ##### NEW MONTGOMERY,5R,Other,5R,00:00 - 00:00,,,MARKEY & NEW MONTGOMERY,,MARKEY & NEW MONTGOMERY,PASSENGER INCIDENT - INTOXICATED PASSENGER  PASSENGER GOT HIS FOOT STUCK AS HE EXITED THE COACH AT THE BACK DOORS.,N,1,5367,409,409 / 5R,,MARKEY,NEW MONTGOMERY,,,Intoxicated Passenger,Other,1471184,0:00,4/29/2016,4/29/2016 16:45,5420,,4/29/2016 16:45,,,,16:45 - 00:00,R,,
"4C 55 RESPONDED, MOVED CAR TO MME, SFPD 3C-11D, 3C-92, SFFD ENG. 37 AND MEDIC 72 RESPONDED AND CLEARED, TRANSPORTED ONE MALE PASS. TO ST. LUKES HOSP. CAD # 03292, NO 799
",4/29/2016,OPERATOR,19:25,Passenger Incident,0,Intoxicated Passenger,1,41,1,    OB,16,GR,KING ##### 2ND,E,E,E,00:00 - 00:00,,,KING & 2ND STREET,,KING & 2ND STREET,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,2909,205,205 / E,MME (OUT OF SERVICE),KING,2ND,%KING%,%2ND%,Intoxicated Passenger,Other,1471183,0:00,4/29/2016,4/29/2016 19:25,1009,4/29/2016 20:06,4/29/2016 19:25,,,,19:25 - 20:06,R,41,41
1-T-60B INSP VELA CRUZ  AND SFPD UNIT # 3J11D RESP AND CLEARED. PERSON WAS TRANSPORTED TO SOBRIETY CENTER . VIDEO PULLED AND WAS SENT TO DIVISION SUPERINTENDENT AND 6A42. NO 799,4/28/2016,OPERATOR,18:05,Passenger Incident,0,Intoxicated Passenger,1,26,1,,17,WO,MARKET BETWEEN HAYES ##### POLK,9R,Other,9R,00:00 - 00:00,,,MARKET  Between HAYES & POLK,,MARKET  Between HAYES & POLK,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4548,180,180 / 9R,,MARKET BETWEEN HAYES,POLK,,,Intoxicated Passenger,Other,1470973,0:00,4/28/2016,4/28/2016 18:05,8453,4/29/2016 18:31,4/29/2016 18:05,,,,18:05 - 18:31,R,26,26
"OP. CLEARED, SFPD RESPONDED, NO 799, NO ARREST",4/28/2016,OPERATOR,23:13,Passenger Incident,0,Intoxicated Passenger,1,7,1,    OB,58,PO,FERRY TERMINAL,14,14,14,00:00 - 00:00,,,FERRY,,FERRY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4082,473,473 / 14,,,,,,Intoxicated Passenger,Other,1470985,0:00,4/28/2016,4/28/2016 23:13,7220,4/29/2016 23:20,4/29/2016 23:13,,,,23:13 - 23:20,R,7,7
"INSP 1T68, SFFD ENGINE 28 RESP. MEDIC 64 TRANSPORTED PASS TO ST FRANCIS HOSP. VIDEO*, CLAIM 6A42*. NO 799.",4/26/2016,OPERATOR,20:23,Passenger Incident,0,Intoxicated Passenger,1,782,1,    OB,26,KI,VAN NESS ##### NORTH POINT,28,28,28,00:00 - 00:00,,,VAN NESS & NORTH POINT,,VAN NESS & NORTH POINT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5243,780,780 / 28,,VAN NESS,NORTH POINT,%VAN%NESS%,%NORTH%POINT%,Intoxicated Passenger,Other,1470563,0:00,4/26/2016,4/26/2016 20:23,8145,4/26/2016 21:22,4/26/2016 8:20,,,,08:20 - 21:22,R,782,782
SFPD A11E* @2215 NO ARREST. NO 799,4/26/2016,OPERATOR,22:13,Passenger Incident,0,Intoxicated Passenger,1,19,1,    OB,27,WO,MARKET ##### STUART,9,9,9,00:00 - 00:00,,,MARKET  & STUART,,MARKET  & STUART,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4022,288,288 / 9,,MARKET,STUART,,,Intoxicated Passenger,Other,1470596,0:00,4/26/2016,4/26/2016 22:13,8427,4/27/2016 22:32,4/27/2016 22:13,,,,22:13 - 22:32,R,19,19
"INSP 1T65 SKINNER, SFPD 3H11D RESPONDED AND CLEARED. VIDEO* 6A47*. NO 799.",4/24/2016,OPERATOR,16:26,Passenger Incident,0,Intoxicated Passenger,1,34,1,    IB,52,KI,MUNICH ##### GENEVA,43,43,43,00:00 - 00:00,,,MUNICH & GENEVA,,GENEVA AVE & MUNICH ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4513,744,744 / 43,,MUNICH,GENEVA,%MUNICH%,%GENEVA%,Intoxicated Passenger,Other,1470223,0:00,4/24/2016,4/24/2016 16:26,8114,4/24/2016 17:09,4/24/2016 16:35,,,,16:35 - 17:09,R,34,34
"INSP 1T63 P.LING RESP, SFFD ENG-29, MED-85 RESP, VIDEO*, CLAIMS 6A47*, PASSENGER REFUSED AID AND WALKED AWAY, NO 799",4/24/2016,OPERATOR,11:34,Passenger Incident,0,Intoxicated Passenger,1,26,1,    IB,40,WO,16TH##### POTRERO,9,9,9,00:00 - 00:00,,,16TH AVE & POTRERO,,16TH ST & POTRERO AVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3491,24,24 / 9,,16TH,POTRERO,%16TH%,%POTRERO%,Intoxicated Passenger,Other,1470172,0:00,4/24/2016,4/24/2016 11:34,8614,4/24/2016 12:00,4/24/2016 11:34,,,,11:34 - 12:00,R,26,26
MEDIC 41 RESPONDED AND TRANSPORTED TO SOBERING CENTER. VIDEO* 6A47*. NO 799.,4/24/2016,OPERATOR,19:36,Passenger Incident,0,Intoxicated Passenger,1,19,1,    OB,52,KI,POWELL ##### BEACH,47,47,47,00:00 - 00:00,,,POWELL  & BEACH,,POWELL  & BEACH,PASSENGER INCIDENT - INTOXICATED PASSENGER  UNRESPONSIVE PATRON.,N,1,5032,732,732 / 47,,POWELL,BEACH,%POWELL%,%BEACH%,Intoxicated Passenger,Other,1470248,0:00,4/24/2016,4/24/2016 19:36,8158,4/24/2016 19:55,4/24/2016 19:36,,,,19:36 - 19:55,R,19,19
"PERSON WALKED AWAY, THEN OP. CLEARED, NO 799, SFPD*",4/21/2016,OPERATOR,2:50,Passenger Incident,0,Intoxicated Passenger,1,18,1,    OB,58,WO,STWART ##### DON GEE,L,L,L,00:00 - 00:00,,,STWART & DON GEE WAY,,STWART & DON GEE WAY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4325,305,305 / L,,STWART,DON GEE,,,Intoxicated Passenger,Other,1469621,0:00,4/21/2016,4/21/2016 2:50,8737,4/21/2016 3:08,4/21/2016 2:50,,,,02:50 - 03:08,R,18,18
1T80 GARNICA* @2205 SFPD 3B13D* NO ARREST MEDICS AMR 20 TRANSPORTED TO MISSION BAY. VIDEO* NO 799,4/20/2016,TMC,20:58,Passenger Incident,0,Intoxicated Passenger,1,75,1,    OB,94,FL,TRANSBAY TERMINAL,6563,Other,6563,00:00 - 00:00,,,TRANSBAY TERMINAL,,TRANSBAY TERMINAL,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,,459,459 / 6563,,,,,,Intoxicated Passenger,Other,1469623,0:00,4/20/2016,4/20/2016 20:58,6563,4/21/2016 22:13,4/21/2016 20:58,,,,20:58 - 22:13,T,75,75
"NO 799,SFPD UNIT 2056 RESPONDED AND CLEARED, NO ARREST.",4/19/2016,OPERATOR,1:21,Passenger Incident,0,Intoxicated Passenger,1,17,1,    OB,58,FL,TRANSBAY TERMINAL,38,38,38,00:00 - 00:00,,,TRANSBAY Between HOWARD & MAIN,,TRANSBAY Between HOWARD & MAIN,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3772,817,817 / 38,,,,,,Intoxicated Passenger,Other,1469249,0:00,4/19/2016,4/19/2016 1:21,8707,4/20/2016 1:38,4/20/2016 1:21,,,,01:21 - 01:38,R,17,17
"SFPD UNIT #1749 RESPONDED 1102, NO ARREST. MEDIC 1 RESPONDED 1102. PASSENGER TRANSPORTED TO KAISER.  VIDEO*, CLAIMS 6A47*, NO 799. NO INSPECTOR AVAILABLE, OPERATOR INSTRUCTED TO FILE  A REPORT AT THE DIVISION. ",4/19/2016,OPERATOR,11:01,Passenger Incident,0,Intoxicated Passenger,1,26,1,    OB,52,PO,HAIGHT ##### BAKER,6,6,6,00:00 - 00:00,,,HAIGHT & BAKER,,HAIGHT & BAKER,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2273,313,313 / 6,,HAIGHT,BAKER,%HAIGHT%,%BAKER%,Intoxicated Passenger,Other,1469327,0:00,4/19/2016,4/19/2016 11:01,8162,4/20/2016 11:27,4/20/2016 11:01,,,,11:01 - 11:27,R,26,26
VIDEO*  6A46*  KING AMERICAN-6 RESPONDED.  TREAT AND RELEASE.  NO TRANSPORT.  NO INJURY.  NO 799.  NO RETURN DUE TO END OF RUN.  NO INSPECTOR AVAILABLE.,4/17/2016,OPERATOR,18:32,Passenger Incident,0,Intoxicated Passenger,1,28,1,    PI,37,FL,PHELAN LOOP,8,8,8,00:00 - 00:00,,,PHELAN LOOP,,CITY COLLEGE TERMINAL,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,5192,518,518 / 8,FLYNN,,,,,Intoxicated Passenger,Other,1469079,0:00,4/17/2016,4/17/2016 18:32,6232,4/17/2016 19:00,4/17/2016 18:32,,,,18:32 - 19:00,R,28,28
"INSP CARVALJAL,S (1T62A), SFPD 3E76, CLEANING UNIT 148 RESP. NO ARREST, NO 799. VIDEO*.",4/16/2016,OPERATOR,15:14,Passenger Incident,0,Intoxicated Passenger,1,21,1,    IB,94,PO,FILLMORE ##### JACKSON,22,22,22,00:00 - 00:00,,,FILLMORE & JACKSON,,FILLMORE & JACKSON,PASSENGER INCIDENT - INTOXICATED PASSENGER  DIRTY COACH,N,1,5163,417,417 / 22,,FILLMORE,JACKSON,%FILLMORE%,%JACKSON%,Intoxicated Passenger,Other,1468920,0:00,4/16/2016,4/16/2016 15:14,5418,4/16/2016 15:35,4/16/2016 15:14,,,,15:14 - 15:35,R,21,21
OPERATOR CLEARED . NO DELAY. INSP. 1T64 ARRIVED 0624 - AID REFUSED. ,4/15/2016,OPERATOR,6:05,Passenger Incident,0,Intoxicated Passenger,1,,1,    OB,52,FL,48TH##### POINT LOBOS,38,Other,38R,00:00 - 00:00,,,48TH AVENUE & POINT LOBOS,,48TH AVENUE & POINT LOBOS,PASSENGER INCIDENT - INTOXICATED PASSENGER  SLEEPER ON CURB AT BUS SHELTER. AID REFUSED,N,1,2886,407,407 / 38R,,48TH,POINT LOBOS,%48TH%,%POINT%LOBOS%,Intoxicated Passenger,Other,1468647,0:00,4/15/2016,4/15/2016 6:05,6528,,4/15/2016 6:05,,,,06:05 - 00:00,R,,
OPERATOR CLEARED. SFPD* CAD #161052715. INSP. A. CHAU RESPONDED. NO OP 799.,4/14/2016,OPERATOR,16:40,Passenger Incident,0,Intoxicated Passenger,1,32,1,    OB,45,WO,MISSION ##### MAIN,9R,Other,9R,00:00 - 00:00,,,MISSION & MAIN,,MISSION & MAIN,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5167,110,110 / 9R,,MISSION,MAIN,%MISSION%,%MAIN%,Intoxicated Passenger,Other,1468530,0:00,4/14/2016,4/14/2016 16:40,8705,4/14/2016 17:12,4/14/2016 16:40,,,,16:40 - 17:12,R,32,32
1T62 ALVAREZ NOTIFIED AT 1218. SFPD NOTIFIED AT 1217 CAD #41752 UNIT 3A13C. SFFD NOTIFIED AT 1217. TRANSPORTED TO CPMC MEDIC#52. VIDEO* NO 799,4/13/2016,OPERATOR,12:17,Passenger Incident,0,Intoxicated Passenger,1,35,1,    IB,52,WO,LEAVENWORTH ##### POST,27,27,27,00:00 - 00:00,,,LEAVENWORTH & POST,,LEAVENWORTH & POST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4460,208,208 / 27,,LEAVENWORTH,POST,%LEAVENWORTH%,%POST%,Intoxicated Passenger,Other,1468439,0:00,4/13/2016,4/13/2016 12:17,8417,4/13/2016 12:53,4/13/2016 12:18,,,,12:18 - 12:53,R,35,35
"ROVER 14 (CHAU A) NOTIFIED AT 1737. SFPD CAD #42995, CASE 161042595. PD UNIT 3H14D RESPONDED. NO ARREST, NO INJURIES. VIDEO* NO 799.",4/13/2016,OPERATOR,17:28,Passenger Incident,0,Intoxicated Passenger,1,18,1,    OB,26,WO,SILVER ##### MISSION,44,44,44,00:00 - 00:00,,,SILVER & MISSION,,SILVER & MISSION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5173,180,180 / 44,,SILVER,MISSION,%SILVER%,%MISSION%,Intoxicated Passenger,Other,1468476,0:00,4/13/2016,4/13/2016 17:28,8425,4/13/2016 17:46,4/13/2016 17:28,,,,17:28 - 17:46,R,18,18
SFPD 3D90* @2214 NO ARREST NO 799,4/13/2016,OPERATOR,22:13,Passenger Incident,0,Intoxicated Passenger,1,18,1,    OB,27,PO,MISSION ##### STEUART,14,14,14,00:00 - 00:00,,,MISSION  & STEUART,,MISSION  & STEUART,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,5353,455,455 / 14,,MISSION,STEUART,%MISSION%,%STEUART%,Intoxicated Passenger,Other,1468508,0:00,4/13/2016,4/13/2016 22:13,7202,4/14/2016 22:31,4/14/2016 22:13,,,,22:13 - 22:31,R,18,18
SFPD NOTIFIED. OPERATOR CLEARED PRIOR TO SFPD'S ARRIVAL. NO 799.,4/13/2016,OPERATOR,23:55,Passenger Incident,0,Intoxicated Passenger,1,7,1,    OB,75,PO,9TH##### JUDAH,6,6,6,00:00 - 00:00,,,9TH AVE & JUDAH,,9TH AVE & JUDAH,PASSENGER INCIDENT - INTOXICATED PASSENGER  744-THREATENING OTHER PASSENGERS.,N,1,2037,480,480 / 6,,9TH,JUDAH,%9TH%,%JUDAH%,Intoxicated Passenger,Other,1468506,0:00,4/13/2016,4/13/2016 23:55,8139,4/15/2016 0:02,4/14/2016 23:55,,,,23:55 - 00:02,R,7,7
DCPD STAR #216 & 224* @2220 ARREST MADE CASE #1603225 VIDEO* NO 799,4/12/2016,OPERATOR,22:18,Passenger Incident,0,Intoxicated Passenger,1,16,1,    IB,27,KI,DALY CITY BART,28,28,28,00:00 - 00:00,,,DC BART,,DC BART,"PASSENGER INCIDENT - INTOXICATED PASSENGER  WHITE MALE 40-50 BLACK PANTS, GRAY HOODED SWEATER",N,1,2367,761,761 / 28,,,,,,Intoxicated Passenger,Other,1468376,0:00,4/12/2016,4/12/2016 22:18,8341,4/12/2016 22:34,4/12/2016 22:18,,,,22:18 - 22:34,R,16,16
